央视,#genre#
淄川新闻,http://ipipip/udp/239.21.1.160:5002
周村新闻,http://ipipip/udp/239.21.2.150:5002
桓台综合,http://ipipip/udp/239.21.1.105:5002
高青综合,http://ipipip/udp/239.21.2.140:5002
沂源新闻,http://ipipip/udp/239.21.1.114:5002
东营综合,http://ipipip/udp/239.21.1.81:5002
东营公共,http://ipipip/udp/239.21.1.82:5002
广饶新闻,http://ipipip/udp/239.21.1.193:5002
烟台新闻,http://ipipip/udp/239.21.1.116:5002
烟台公共,http://ipipip/udp/239.21.1.117:5002
烟台经济科教,http://ipipip/udp/239.21.1.205:5002
烟台影视,http://ipipip/udp/239.21.1.204:5002
牟平新闻,http://ipipip/udp/239.21.2.10:5002
牟平生活,http://ipipip/udp/239.21.2.11:5002
蓬莱新闻,http://ipipip/udp/239.21.2.56:5002
龙口综合,http://ipipip/udp/239.21.2.146:5002
招远综合,http://ipipip/udp/239.21.2.145:5002
栖霞综合,http://ipipip/udp/239.21.1.229:5002
海阳综合,http://ipipip/udp/239.21.2.64:5002
海阳综艺,http://ipipip/udp/239.21.2.65:5002
长岛综合,http://ipipip/udp/239.21.2.52:5002
潍坊新闻,http://ipipip/udp/239.21.1.77:5002
潍坊经济生活,http://ipipip/udp/239.21.1.78:5002
潍坊影视综艺,http://ipipip/udp/239.21.2.88:5002
潍坊科教文旅,http://ipipip/udp/239.21.2.89:5002
潍坊高新区,http://ipipip/udp/239.21.2.131:5002
青州新闻,http://ipipip/udp/239.21.1.232:5002
青州文旅,http://ipipip/udp/239.21.1.231:5002
诸城新闻,http://ipipip/udp/239.21.1.217:5002
寿光新闻,http://ipipip/udp/239.21.1.180:5002
寿光蔬菜,http://ipipip/udp/239.21.1.218:5002
安丘新闻,http://ipipip/udp/239.21.2.13:5002
高密综合,http://ipipip/udp/239.21.2.59:5002
昌邑综合,http://ipipip/udp/239.21.2.27:5002
昌乐综合,http://ipipip/udp/239.21.1.245:5002
临朐综合,http://ipipip/udp/239.21.2.62:5002
济宁综合,http://ipipip/udp/239.21.2.19:5002
济宁生活,http://ipipip/udp/239.21.1.139:5002
济宁公共,http://ipipip/udp/239.21.2.20:5002
济宁高新,http://ipipip/udp/239.21.2.83:5002
任城-1,http://ipipip/udp/239.21.2.143:5002
任城-2,http://ipipip/udp/239.21.2.144:5002
兖州新闻,http://ipipip/udp/239.21.1.224:5002
曲阜新闻综合,http://ipipip/udp/239.21.1.225:5002
邹城综合,http://ipipip/udp/239.21.1.185:5002
鱼台新闻,http://ipipip/udp/239.21.2.134:5002
鱼台生活,http://ipipip/udp/239.21.2.135:5002
嘉祥综合,http://ipipip/udp/239.21.2.84:5002
梁山综合,http://ipipip/udp/239.21.2.12:5002
泰山电视,http://ipipip/udp/239.21.2.147:5002
